Patient,R2,RMSE,MAE,Spearman,C_index,Kendall,Cum_AUC,Order_Correct,Task1_Pred,Task2_Pred,Task3_Pred,Task1_Target,Task2_Target,Task3_Target
1,0.4787095785140991,0.5991403690088382,0.2572046220302582,0.74406711262459,0.8733133616143406,0.6786900443827348,0.8674686189948103,True,0.8516885,-0.00698859,-0.5790312,1.0,0.0,-1.0
2,0.1940910816192627,0.7416922271981616,0.5171482563018799,0.6701007492829503,0.799433757118405,0.5641493948235041,0.8621788950431434,True,0.7684969,0.3717395,-0.384739,1.0,0.0,-1.0
3,0.7897812724113464,0.3605048414466077,0.13245278596878052,0.8930690089676125,0.9252942049168952,0.864599220144941,0.9323898765943798,True,0.8822817,0.016395163,-0.7262368,1.0,0.0,-1.0
4,0.6605712175369263,0.4776019969573357,0.1827312409877777,0.8508692677402623,0.9261373614810192,0.7455934470674466,0.9203334398276938,True,0.99886936,0.01046757,-0.6510395,1.0,0.0,-1.0
5,0.8122625350952148,0.3516964869017877,0.11998878419399261,0.8850444105103789,0.9510088427577561,0.794054317109081,0.9521014081091005,True,0.8680941,-0.06470127,-0.8403133,1.0,0.0,-1.0
6,-0.3617347478866577,0.9561657787458732,0.628325879573822,0.5027087339145768,0.7269084633242224,0.4338941902636773,0.7320086097734628,True,0.9340091,0.1273749,-0.012037636,1.0,0.0,-1.0
7,0.6413496732711792,0.47222041693822314,0.21054638922214508,0.8555313291659937,0.9242589762608407,0.7979862856609178,0.9380413874374384,True,0.8272911,-0.035859156,-0.8677063,1.0,0.0,-1.0
8,-0.23402667045593262,0.9341780298638237,0.6564887166023254,0.1426603849579215,0.5730503237725778,0.12203155872495881,0.5287106454243524,False,0.5564008,0.09616596,0.32383525,1.0,0.0,-1.0
9,0.21606332063674927,0.7188823826821519,0.529069185256958,0.666710103593122,0.8072522636087349,0.5554299128366693,0.8174433197631815,True,0.70809484,0.07193345,0.022669952,1.0,0.0,-1.0
10,-0.6282669305801392,1.0175594979776064,0.7062981724739075,0.3055288545014889,0.6275037404278436,0.2683879529365817,0.650733062375292,True,0.7752094,0.66781765,0.16175272,1.0,0.0,-1.0
